portfolio_id,asset_id,quantity,average_purchase_price,purchase_date
2,780,286,711.62,2022-05-15
2,804,365,865.48,2021-11-22
2,683,177,789.9,2024-11-16
2,823,414,377.55,2022-06-12
2,566,18,118.56,2023-01-23
2,1006,221,370.56,2022-07-04
2,532,463,536.56,2026-03-14
2,527,295,977.54,2023-11-22
3,679,159,837.82,2023-07-03
3,813,445,717.75,2022-06-13
3,762,174,844.25,2022-10-02
3,750,318,372.03,2025-01-02
3,722,396,960.85,2022-03-04
3,721,422,57.08,2024-06-13
3,606,417,39.77,2024-07-11
3,787,95,148.23,2025-04-04
3,647,27,160.87,2023-06-11
3,875,147,64.37,2022-10-27
3,929,443,485.92,2025-09-26
3,586,327,543.92,2024-09-19
3,909,447,667.54,2023-05-10
4,753,213,211.61,2021-07-30
4,687,342,164.0,2023-04-29
4,669,429,704.83,2022-08-22
4,702,339,473.5,2024-12-23
4,919,75,856.83,2022-07-23
4,863,194,66.1,2021-11-16
4,553,81,245.07,2025-05-24
4,796,239,143.52,2023-05-20
4,544,113,128.49,2024-12-26
4,885,433,222.23,2026-04-30
5,578,280,762.21,2023-09-24
5,736,221,403.79,2025-06-04
5,774,76,550.23,2022-04-17
5,746,328,893.23,2024-12-24
5,855,189,809.96,2024-02-06
5,773,271,185.18,2022-10-10
5,622,260,704.56,2025-01-04
5,842,207,742.58,2024-12-26
5,870,451,575.08,2024-03-03
5,626,226,938.67,2026-05-22
5,617,190,449.48,2022-02-08
5,763,334,809.66,2024-01-27
5,814,127,372.32,2023-01-18
6,573,87,669.88,2026-04-09
6,838,444,142.51,2022-05-28
6,533,93,815.3,2025-12-25
6,883,367,204.82,2023-11-27
6,876,309,425.55,2026-02-14
6,812,336,323.41,2024-07-31
6,799,394,232.14,2022-09-07
6,518,389,90.71,2022-07-05
7,577,249,377.92,2021-09-19
7,709,84,331.62,2023-02-25
7,996,196,175.98,2023-02-26
7,505,195,815.37,2024-12-18
7,723,219,196.86,2025-05-30
7,513,291,632.35,2023-04-24
7,791,272,845.84,2022-09-13
7,743,423,643.5,2022-05-24
7,711,423,370.7,2026-05-01
7,594,172,39.84,2024-11-23
8,794,415,490.2,2025-03-31
8,644,286,630.06,2023-04-19
8,517,184,221.9,2022-03-31
8,836,105,456.74,2025-03-18
8,537,322,776.32,2024-12-25
8,942,274,181.96,2023-09-20
8,804,453,495.78,2024-08-04
8,977,379,475.58,2024-09-18
8,666,458,419.1,2025-01-13
8,964,285,149.21,2022-11-02
9,537,426,954.98,2023-05-29
9,701,54,947.27,2021-08-14
9,684,327,918.86,2025-08-08
9,535,392,43.52,2023-03-04
