client_id,portfolio_name,investment_goal,initial_investment,creation_date
7014,Emergency Fund,Capital Appreciation,3727059.98,2022-02-22
6306,Emergency Fund,Retirement,56335.01,2024-09-04
6030,Long Term Growth,Retirement,3829862.52,2020-10-02
6795,Long Term Growth,Retirement,3896043.47,2022-09-08
6795,Global Equity,Education,3583636.11,2023-01-15
6795,Long Term Growth,Capital Appreciation,1192682.79,2022-02-04
3741,Retirement Portfolio,Wealth Creation,1234244.13,2023-05-13
3741,Aggressive Growth,Tax Saving,2037057.0,2021-04-18
3741,Tax Saving,Capital Appreciation,128689.16,2023-08-13
5298,Education Fund,Wealth Creation,2655340.0,2021-07-11
5298,Long Term Growth,Tax Saving,2858516.22,2021-02-10
5298,Retirement Portfolio,Income,1518599.2,2022-01-12
7382,Emergency Fund,Capital Appreciation,3123297.28,2025-06-30
7382,Global Equity,Capital Appreciation,181854.19,2026-04-05
4859,Balanced Portfolio,Capital Appreciation,119134.89,2021-08-30
4859,Aggressive Growth,Education,1713128.24,2021-01-21
5676,Aggressive Growth,Wealth Creation,913568.08,2022-03-10
5676,Balanced Portfolio,Tax Saving,2238309.61,2020-04-23
6683,Emergency Fund,Income,4619218.22,2024-05-22
6683,Emergency Fund,Tax Saving,1078683.49,2020-07-22
3496,Tax Saving,Capital Appreciation,4495707.37,2019-01-28
3496,Education Fund,Retirement,1527956.83,2019-01-29
5872,Emergency Fund,Education,2118397.89,2021-09-17
5872,Retirement Portfolio,Education,3117373.28,2020-08-27
3943,Retirement Portfolio,Wealth Creation,2722823.59,2021-07-12
3943,Global Equity,Retirement,3114932.0,2023-11-26
3943,Tax Saving,Retirement,3933908.8,2022-05-03
7055,Emergency Fund,Retirement,1530726.59,2025-01-15
7055,Emergency Fund,Retirement,3728827.0,2022-11-15
7055,Aggressive Growth,Education,4946405.15,2022-07-11
2855,Education Fund,Retirement,1308701.73,2020-01-30
2855,Wealth Creation,Tax Saving,3468133.24,2019-10-03
2855,Retirement Portfolio,Capital Appreciation,3896799.77,2020-12-02
2855,Retirement Portfolio,Education,4867851.5,2020-10-25
4351,Retirement Portfolio,Capital Appreciation,4713239.49,2024-02-22
4196,Aggressive Growth,Wealth Creation,2392212.47,2024-06-12
4176,Dividend Income,Tax Saving,230145.24,2020-02-15
4176,Aggressive Growth,Income,4754694.62,2025-10-11
4176,Balanced Portfolio,Education,1325659.99,2022-10-07
5000,Wealth Creation,Capital Appreciation,3768797.07,2025-11-29
5000,Global Equity,Tax Saving,3968680.8,2020-03-26
5000,Wealth Creation,Education,1120254.06,2023-11-22
5000,Tax Saving,Tax Saving,1297736.34,2023-02-07
6867,Global Equity,Capital Appreciation,3800710.71,2020-03-19
6867,Tax Saving,Education,1372109.46,2018-10-31
6867,Aggressive Growth,Education,2704268.13,2025-01-10
6867,Education Fund,Tax Saving,2461696.45,2022-03-08
3452,Long Term Growth,Education,4694540.8,2023-10-06
3452,Retirement Portfolio,Retirement,939149.95,2025-11-12
3452,Tax Saving,Capital Appreciation,3496267.73,2020-10-26
3452,Retirement Portfolio,Tax Saving,2606388.5,2020-01-19
4572,Emergency Fund,Education,214488.42,2024-07-08
6690,Emergency Fund,Income,887222.66,2024-04-14
6690,Retirement Portfolio,Capital Appreciation,2613942.82,2022-03-07
6690,Aggressive Growth,Tax Saving,2940616.25,2020-11-11
6690,Wealth Creation,Retirement,2722697.13,2021-05-12
4624,Aggressive Growth,Income,2941149.47,2019-12-18
2873,Balanced Portfolio,Retirement,1941739.43,2020-01-21
2873,Balanced Portfolio,Retirement,1300672.5,2024-09-18
5742,Aggressive Growth,Wealth Creation,3464886.82,2023-04-02
5428,Aggressive Growth,Education,3293263.51,2019-03-13
5428,Retirement Portfolio,Capital Appreciation,1452694.48,2021-11-10
5428,Dividend Income,Education,2406441.77,2022-11-06
4702,Global Equity,Retirement,4921212.67,2022-06-12
4702,Retirement Portfolio,Capital Appreciation,1657897.97,2019-10-28
5605,Balanced Portfolio,Capital Appreciation,4297809.6,2022-03-21
5605,Retirement Portfolio,Wealth Creation,613176.14,2022-01-18
5605,Aggressive Growth,Education,564076.17,2021-06-19
5605,Dividend Income,Income,2814982.76,2022-08-23
7601,Tax Saving,Education,887100.52,2019-12-22
7601,Education Fund,Capital Appreciation,1226644.93,2025-05-10
7601,Global Equity,Education,1520445.37,2025-01-27
5223,Retirement Portfolio,Retirement,3219068.42,2019-03-24
5223,Retirement Portfolio,Wealth Creation,3082215.68,2018-12-05
5180,Education Fund,Education,2800295.98,2023-12-25
5180,Global Equity,Retirement,1897402.17,2022-07-22
5180,Balanced Portfolio,Income,3659396.71,2020-09-13
7031,Balanced Portfolio,Tax Saving,1624437.18,2026-06-24
7031,Education Fund,Capital Appreciation,1946219.65,2024-06-28
7031,Aggressive Growth,Income,1497467.6,2019-01-10
7031,Aggressive Growth,Retirement,1795072.23,2020-05-13
4341,Wealth Creation,Retirement,2022733.51,2024-07-14
3570,Balanced Portfolio,Tax Saving,4620856.59,2021-06-18
3570,Long Term Growth,Retirement,4843709.25,2021-10-02
3570,Emergency Fund,Tax Saving,1564132.22,2023-01-14
3570,Aggressive Growth,Wealth Creation,1245389.24,2025-12-09
5324,Retirement Portfolio,Education,1659380.88,2025-05-14
5101,Emergency Fund,Tax Saving,4839741.53,2025-04-10
5101,Dividend Income,Income,4784182.87,2020-11-10
5101,Wealth Creation,Income,2764677.2,2019-11-03
5101,Emergency Fund,Income,4643320.0,2021-11-29
6357,Wealth Creation,Retirement,2278403.01,2025-08-22
6357,Long Term Growth,Tax Saving,1415803.33,2025-02-08
6357,Global Equity,Retirement,3281497.43,2019-04-13
6357,Tax Saving,Wealth Creation,462387.91,2019-03-14
3254,Retirement Portfolio,Tax Saving,157283.79,2023-07-27
3254,Wealth Creation,Income,175245.47,2018-11-27
3254,Balanced Portfolio,Tax Saving,4284257.95,2025-06-23
5524,Dividend Income,Capital Appreciation,806263.99,2026-07-07
5524,Global Equity,Tax Saving,4685838.74,2018-11-26
5524,Emergency Fund,Tax Saving,1932981.6,2021-03-15
6523,Long Term Growth,Income,1390700.46,2025-08-10
6523,Retirement Portfolio,Education,4467256.48,2020-12-27
6876,Long Term Growth,Capital Appreciation,4291140.48,2025-05-25
6876,Wealth Creation,Retirement,2750570.95,2021-09-05
6876,Retirement Portfolio,Wealth Creation,3722278.37,2018-07-21
6876,Retirement Portfolio,Retirement,114821.19,2025-10-19
6339,Emergency Fund,Education,1436352.27,2022-12-28
3630,Global Equity,Education,2369781.31,2024-07-22
3630,Wealth Creation,Wealth Creation,3068513.86,2018-11-11
3630,Education Fund,Wealth Creation,4611088.97,2020-10-19
4959,Global Equity,Wealth Creation,3367755.81,2022-05-03
4959,Tax Saving,Capital Appreciation,1342713.89,2025-06-20
4959,Balanced Portfolio,Capital Appreciation,883637.28,2021-12-01
4437,Balanced Portfolio,Income,3236099.44,2024-06-10
5062,Tax Saving,Income,1389831.29,2018-11-29
5314,Retirement Portfolio,Capital Appreciation,2076880.5,2026-01-12
5199,Emergency Fund,Retirement,4342261.95,2022-10-27
5199,Global Equity,Income,4480803.27,2019-09-20
5199,Dividend Income,Education,4184793.9,2018-08-23
5199,Dividend Income,Retirement,2195335.69,2023-04-29
4475,Long Term Growth,Tax Saving,3881512.41,2024-06-02
4558,Global Equity,Education,2549424.17,2020-06-28
4558,Dividend Income,Capital Appreciation,3061702.36,2023-08-15
5984,Dividend Income,Education,151053.47,2025-07-12
5984,Global Equity,Capital Appreciation,3529684.53,2026-04-13
4214,Global Equity,Retirement,168987.61,2024-05-17
6102,Long Term Growth,Tax Saving,2169907.15,2020-03-22
3678,Long Term Growth,Tax Saving,912072.41,2023-12-07
3678,Aggressive Growth,Retirement,3252174.64,2026-03-12
3678,Balanced Portfolio,Tax Saving,2398241.5,2025-05-26
3678,Dividend Income,Income,1095295.45,2025-09-09
3544,Education Fund,Wealth Creation,1660586.09,2024-07-11
2857,Wealth Creation,Income,2192833.0,2020-08-08
4015,Dividend Income,Income,715601.53,2023-03-11
4015,Aggressive Growth,Tax Saving,590702.83,2023-05-23
4015,Aggressive Growth,Retirement,3159906.59,2024-04-08
4783,Retirement Portfolio,Capital Appreciation,4345060.91,2019-07-28
4416,Wealth Creation,Income,2124134.34,2026-01-03
4416,Aggressive Growth,Capital Appreciation,1748739.03,2019-11-04
4416,Tax Saving,Tax Saving,1390339.52,2021-09-29
4416,Emergency Fund,Wealth Creation,3644060.59,2023-03-16
7450,Balanced Portfolio,Tax Saving,4057010.7,2019-12-26
3513,Long Term Growth,Retirement,1464904.78,2021-05-22
3513,Wealth Creation,Retirement,2199191.45,2019-02-17
3513,Dividend Income,Income,4401070.85,2022-06-30
3513,Global Equity,Tax Saving,3067204.73,2019-06-25
6822,Dividend Income,Income,2224171.3,2018-08-02
6822,Wealth Creation,Wealth Creation,2809580.03,2019-08-14
6822,Retirement Portfolio,Retirement,937268.71,2024-08-28
6822,Global Equity,Capital Appreciation,4680958.79,2023-04-01
5148,Balanced Portfolio,Tax Saving,3621290.61,2024-04-11
5148,Aggressive Growth,Income,3532310.74,2019-04-10
5148,Retirement Portfolio,Wealth Creation,3452526.57,2019-03-09
5148,Tax Saving,Tax Saving,4500030.66,2023-02-03
5799,Global Equity,Tax Saving,616712.0,2020-05-15
5799,Long Term Growth,Retirement,933273.21,2020-01-15
5799,Long Term Growth,Education,4032473.27,2018-08-15
5799,Emergency Fund,Income,4495833.13,2020-08-08
2957,Retirement Portfolio,Income,1962101.21,2022-11-24
3228,Education Fund,Income,2101613.84,2025-03-09
3228,Tax Saving,Wealth Creation,4966222.68,2025-02-23
3228,Long Term Growth,Wealth Creation,3703118.18,2020-10-31
3228,Emergency Fund,Capital Appreciation,2139034.16,2025-03-03
5394,Emergency Fund,Education,1408238.18,2023-12-20
5394,Dividend Income,Retirement,4977800.58,2019-02-19
5394,Education Fund,Wealth Creation,1972529.2,2018-08-29
5394,Aggressive Growth,Wealth Creation,4901791.37,2022-10-21
4270,Tax Saving,Wealth Creation,1037746.47,2020-05-27
4149,Emergency Fund,Retirement,2752668.7,2023-06-30
3485,Emergency Fund,Income,2702747.52,2020-04-11
3485,Tax Saving,Tax Saving,996560.65,2023-06-21
3485,Emergency Fund,Education,1257554.42,2021-06-11
6326,Balanced Portfolio,Income,3221713.39,2023-12-01
6326,Long Term Growth,Education,1454247.19,2023-01-22
6326,Tax Saving,Capital Appreciation,4645975.39,2023-06-09
6326,Tax Saving,Tax Saving,3750983.02,2023-10-10
5924,Dividend Income,Wealth Creation,444580.33,2025-05-15
5924,Education Fund,Income,4944367.05,2020-05-25
5924,Emergency Fund,Tax Saving,4498042.64,2026-03-17
3056,Global Equity,Capital Appreciation,3911892.57,2019-02-11
3056,Retirement Portfolio,Capital Appreciation,3127674.97,2020-04-05
3056,Aggressive Growth,Education,2859828.99,2024-06-21
3056,Dividend Income,Income,1965405.0,2025-04-21
4467,Dividend Income,Retirement,233327.25,2022-06-17
4467,Balanced Portfolio,Tax Saving,3188781.02,2022-01-20
4904,Retirement Portfolio,Education,4866905.75,2024-03-24
3339,Aggressive Growth,Wealth Creation,2557658.9,2021-01-22
3339,Wealth Creation,Wealth Creation,2699580.1,2019-06-11
7399,Emergency Fund,Retirement,2253574.08,2020-12-17
7399,Emergency Fund,Tax Saving,1332591.29,2025-05-01
7399,Long Term Growth,Retirement,1068498.94,2020-03-14
7399,Balanced Portfolio,Retirement,4195512.69,2020-01-29
5198,Long Term Growth,Capital Appreciation,2296931.67,2022-12-11
5198,Education Fund,Tax Saving,2507138.61,2025-05-15
5198,Aggressive Growth,Education,2987364.61,2018-09-09
5198,Long Term Growth,Retirement,1157373.32,2024-04-29
5982,Wealth Creation,Retirement,3593390.02,2024-10-31
5982,Aggressive Growth,Income,2148898.05,2024-04-27
7788,Emergency Fund,Wealth Creation,1334502.43,2024-08-25
7788,Balanced Portfolio,Tax Saving,2913259.13,2024-04-29
7788,Aggressive Growth,Tax Saving,2307084.74,2023-12-07
7788,Tax Saving,Retirement,4331359.77,2025-07-21
7082,Tax Saving,Education,2843121.27,2026-03-12
7082,Education Fund,Wealth Creation,1339727.63,2021-12-11
7082,Retirement Portfolio,Education,1917995.92,2020-01-19
7132,Tax Saving,Wealth Creation,84595.05,2026-04-24
7132,Tax Saving,Education,3707544.31,2021-12-08
7132,Education Fund,Wealth Creation,4554321.87,2022-04-18
7132,Wealth Creation,Wealth Creation,2344023.18,2022-09-30
3949,Global Equity,Education,4152185.7,2024-10-08
3949,Tax Saving,Income,1445386.71,2019-06-08
3949,Retirement Portfolio,Tax Saving,4416734.97,2021-04-26
3949,Global Equity,Education,4961625.92,2023-03-23
3312,Balanced Portfolio,Tax Saving,50592.34,2025-09-02
3312,Education Fund,Income,4355049.59,2023-11-03
2858,Global Equity,Education,3265796.19,2019-10-10
5718,Tax Saving,Retirement,3563045.16,2021-09-13
5718,Tax Saving,Wealth Creation,2629234.48,2025-04-17
5718,Dividend Income,Tax Saving,4656675.88,2022-07-18
5106,Retirement Portfolio,Wealth Creation,2576949.91,2019-01-31
7058,Long Term Growth,Wealth Creation,2656752.6,2019-05-11
7058,Retirement Portfolio,Education,3832794.24,2022-10-07
4743,Global Equity,Retirement,326198.35,2020-01-23
4743,Dividend Income,Retirement,4774235.89,2025-04-16
3566,Long Term Growth,Retirement,3374495.75,2026-07-04
6808,Emergency Fund,Tax Saving,3955439.21,2022-09-25
6808,Tax Saving,Retirement,704568.24,2021-07-18
6808,Wealth Creation,Wealth Creation,2250328.76,2021-10-29
4090,Long Term Growth,Income,3368834.85,2021-02-06
4090,Tax Saving,Wealth Creation,4322782.12,2023-12-06
4090,Aggressive Growth,Tax Saving,245980.89,2021-05-20
4090,Education Fund,Wealth Creation,2027847.39,2023-03-26
6121,Tax Saving,Income,2005031.74,2023-11-05
6121,Tax Saving,Retirement,2040712.03,2023-05-13
4734,Global Equity,Income,2421965.29,2026-01-07
4734,Dividend Income,Retirement,977382.71,2019-03-11
4734,Tax Saving,Income,1588531.43,2020-07-06
4734,Aggressive Growth,Income,2714590.91,2019-11-06
4819,Tax Saving,Tax Saving,2452646.38,2022-02-11
3640,Dividend Income,Education,3043693.93,2022-07-29
3640,Aggressive Growth,Tax Saving,4452195.21,2020-07-13
3640,Wealth Creation,Capital Appreciation,4444329.52,2025-10-05
3640,Wealth Creation,Income,4667787.67,2024-04-04
6367,Balanced Portfolio,Retirement,173620.18,2021-03-20
6367,Balanced Portfolio,Income,3853058.83,2025-12-13
6367,Global Equity,Income,642827.73,2023-04-07
4752,Emergency Fund,Education,2348567.34,2023-02-25
6147,Wealth Creation,Income,4662738.53,2022-05-09
6147,Education Fund,Retirement,3617969.77,2021-06-21
6147,Long Term Growth,Tax Saving,1272603.09,2022-01-05
6147,Long Term Growth,Capital Appreciation,1854266.84,2020-12-09
2995,Education Fund,Income,2360315.44,2023-07-15
2995,Education Fund,Wealth Creation,4541194.1,2023-07-01
2995,Balanced Portfolio,Education,1246736.2,2025-08-10
2995,Balanced Portfolio,Wealth Creation,3900489.55,2022-03-08
7353,Wealth Creation,Tax Saving,1025323.88,2020-05-08
